,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,original_title
902,Highway,2014,Not Rated,21 Feb 2014,133 min,"Crime, Drama, Romance",Imtiaz Ali,Imtiaz Ali,"Alia Bhatt, Randeep Hooda, Durgesh Kumar","Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper.",Hindi,India,10 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMjE5NjkyNTczM15BMl5BanBnXkFtZTgwNDg4MzE5MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40.0,7.6,"31,758",tt2980794,movie,,"$529,136",,,True,,Highway
903,Jinxed,2013,G,29 Nov 2013,75 min,"Comedy, Family",Stephen Herek,"Neal Israel, Bill Timoney, Aury Wallington","Ciara Bravo, Jacob Bertrand, Elena Kampouris",A determined teen embarks on a journey to break a century-old curse that has plagued her family with misfortune for generations.,English,"United States, Canada",1 nomination,https://m.media-amazon.com/images/M/MV5BY2JkNWFhYzItOGM4Ny00ZDdhLWEyODktYmRlZDA1YTI1ZjQ3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,6.3,"1,822",tt2934844,movie,,,,,True,,Jinxed
904,Dragons: Dawn of the Dragon Racers,2014,TV-PG,11 Nov 2014,26 min,"Animation, Short, Adventure, Comedy, Family, Fantasy","Elaine Bogan, John Sanford","Cressida Cowell (based upon the ""How to Train Your Dragon"" book series by), Art Edler Brown, Douglas Sloan","Jay Baruchel, America Ferrera, Christopher Mintz-Plasse, T.J. Miller","Dawn of the Dragon Racers, is a short film describing how Dragon Racing was invented. Hiccup and all his friends from the dragon academy fight about who really invented it.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BNDRhYTRjOTQtMGYzYy00MjI5LWI1Y2EtMjQ3OWVlMjk0NmE5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",,7.0,"2,232",tt4191768,movie,,,,,True,,Dragons: Dawn of the Dragon Racers
905,20 Minutes,2023,PG-13,23 Mar 2023,93 min,Thriller,Timothy A. Chey,Timothy A. Chey,"Dia Frampton, Michael Camp, Mihara India",An incoming ballistic missile to Hawaii changes twelve people's lives when they discover they have 20 minutes to live.,English,United States,,https://m.media-amazon.com/images/M/MV5BN2RhZWQ0ZGMtNjJjZC00ODdhLTg0N2QtYTZhMmE3ZDU1MGNhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",,8.5,517,tt9580502,movie,,,,,True,,20 Minutes
906,Dabbe: The Possession,2013,,02 Aug 2013,134 min,"Horror, Thriller",Hasan Karacadag,Hasan Karacadag,"Elçin Atamgüç, Orhan Gencer, Sultan Köroglu Kiliç","Ahead of her wedding, Kübra is possessed by demons. When an examination reveals more horror, her friend, a psychiatrist, tries to perform an exorcism.",Turkish,Turkey,,https://m.media-amazon.com/images/M/MV5BMjMxMTQ5MjY4Nl5BMl5BanBnXkFtZTcwMTY3NTQ5OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,6.8,"7,886",tt3069758,movie,,,,,True,,Dabbe: The Possession
907,Ralphie May: Imperfectly Yours,2013,,23 Feb 2013,69 min,"Documentary, Comedy",Anthony Pierce,Ralphie May,Ralphie May,"Comedian Ralphie May takes to the Las Vegas stage with his raw, rollicking take on men's fashion, racism, sex and even waffles.",English,United States,,https://m.media-amazon.com/images/M/MV5BNWQzMTJjNGEtYjcxOS00OTdkLWJmOWQtODMxZjM4MzU1NjUwXkEyXkFqcGdeQXVyNjE3MjQyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",,5.6,167,tt3216296,movie,,,,,True,,Ralphie May: Imperfectly Yours
908,Mary Kom,2014,Not Rated,05 Sep 2014,122 min,"Action, Biography, Drama",Omung Kumar,"Saiwyn Quadras, Ramendra Vasishth, Karan Singh Rathore","Priyanka Chopra Jonas, Sunil Thapa, Robin Das","A chronicle of the life of Indian boxer Mary Kom, who went through several hardships before audaciously accomplishing her ultimate dream.",Hindi,India,13 wins & 19 nominations,https://m.media-amazon.com/images/M/MV5BNjc0MjA0NzIzMF5BMl5BanBnXkFtZTgwMjg0MTQyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",,6.8,"11,577",tt3001638,movie,,"$621,300",,,True,,Mary Kom
909,"The Other One: The Long, Strange Trip of Bob Weir",2014,,22 May 2015,85 min,"Documentary, Biography, Music",Mike Fleiss,,"John Perry Barlow, Chuck Berry, Neal Cassady","A documentary that explores Bob Weirs life, through the Grateful Dead, Ratdog, and his childhood.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BOWU4OGNlN2ItNmJiNy00MjU4LTkyMGQtZjc5MTRiMmQ4ZGU4XkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,7.3,"1,793",tt3692768,movie,,,,,True,,"The Other One: The Long, Strange Trip of Bob Weir"
910,Fukrey,2013,Not Rated,14 Jun 2013,139 min,"Comedy, Drama, Romance",Mrighdeep Lamba,"Mrighdeep Lamba, Vipul Vig","Pulkit Samrat, Manjot Singh, Ali Fazal","The paths of four dream-chasing college friends cross with an array of colourful characters, from a tough-talking Punjabi female don to a Jugaad Baaz college watchman. Mayhem ensues.",Hindi,India,5 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BODI5MzQ2NDg0MV5BMl5BanBnXkFtZTcwNTEwMzI1OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",,6.9,"13,632",tt2806788,movie,,"$125,279",,,True,,Fukrey
911,Free Birds,2013,PG,01 Nov 2013,91 min,"Animation, Adventure, Comedy",Jimmy Hayward,"Scott Mosier, Jimmy Hayward, David I. Stern","Woody Harrelson, Owen Wilson, Dan Fogler","A pair of turkeys discover a time machine and decide to use it to travel to the first Thanksgiving, to take turkeys off the menu forever.",English,"United States, Canada, Japan, Australia",2 nominations total,https://m.media-amazon.com/images/M/MV5BNjE0NjIwMzAwOF5BMl5BanBnXkFtZTgwOTIyMzMzMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38.0,5.8,"27,592",tt1621039,movie,,"$55,750,480",,,True,,Free Birds
912,Race 2,2013,Not Rated,25 Jan 2013,150 min,"Action, Crime, Thriller","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Kiran Kotrial, Shiraz Ahmed","Saif Ali Khan, Anil Kapoor, John Abraham",Ranvir treads through the world of the Indian mafia in Turkey as he looks to avenge the death of his lover and partner in crime.,Hindi,India,5 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BODQzMjNlN2EtYmE4NC00ZjgwLTkwMTQtMGFkZDBmYzIyMDgxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",,5.3,"17,840",tt1375789,movie,,"$1,579,940",,,True,,Race 2
913,Incomplete Life,2024,,01 Jun 2024,24 min,"Short, Family",Chengxue Liu,Chengxue Liu,"Shuang Liang, Chengxue Liu, Pengtao Sun",,,China,,https://m.media-amazon.com/images/M/MV5BZjEzYTVlOGEtMDM5Zi00M2VmLTkyODYtZTcwNjQ4MDg4Mzk1XkEyXkFqcGc@._V1_SX300.jpg,[],,,,tt32369459,movie,,,,,True,,Incomplete Life
914,Lego Marvel Super Heroes: Maximum Overload,2013,,05 Nov 2013,22 min,"Animation, Short, Action",,,"Drake Bell, Steve Blum, Greg Cipes",Spider-Man and Marvel's Super Heroes take on a mischievous Loki and a team of super villains.,English,United States,,https://m.media-amazon.com/images/M/MV5BOTZlYTMxYjEtOTFkMi00MDY4LWE5Y2UtZjY3OWI0YmRhY2Y1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,6.3,"1,744",tt3322904,series,,,,,True,1.0,Lego Marvel Super Heroes: Maximum Overload
915,The Berlin File,2013,PG-13,15 Feb 2013,120 min,"Action, Thriller",Ryoo Seung-wan,"Ted Geoghegan, Stefanie Y. Hong, Ryoo Seung-wan","Ha Jung-woo, Han Suk-kyu, Ryu Seung-beom","Jong-seong, a North Korean ghost agent, interrupts an illegal arms sale in Berlin. A notorious North Korean agent tests the loyalties of everyone involved as Jong-Seong prepares to make the ultimate sacrifice.","Korean, English, German",South Korea,12 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMjg0OTY4MDE2NV5BMl5BanBnXkFtZTgwOTQyMjEyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54.0,6.6,"7,775",tt2357377,movie,,"$665,210",,,True,,The Berlin File
916,Monty Python: The Meaning of Live,2014,Not Rated,13 Nov 2014,90 min,Documentary,"Roger Graef, James Rogan",,"Eric Idle, Terry Gilliam, John Cleese","Uniquely intimate documentary following the stars of Monty Python as they reunite for a final time to stage a marathon ten shows of Monty Python Live (mostly) - One Down Five to Go at The O2, London in July 2014.",English,United Kingdom,,https://m.media-amazon.com/images/M/MV5BNTg4ZTNkZTYtY2ZhOC00ZGE0LWE5OGQtYjg0YzNhYTk4YjBmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,891,tt4256544,movie,,,,,True,,Monty Python: The Meaning of Live
917,Imperial Dreams,2014,TV-MA,01 Oct 2016,87 min,Drama,Malik Vitthal,"Ismet Prcic, Malik Vitthal","John Boyega, Rotimi, Glenn Plummer","A 21-year-old reformed gangster's devotion to his family and his future is put to the test when he is released from prison and returns to his old stomping grounds in Watts, Los Angeles.",English,United States,10 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BNWU0OGIzMDAtNWE4MC00NGVjLWJlMDItYTczNmJiYzFkMjA5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67.0,6.7,"4,832",tt3331028,movie,,,,,True,,Imperial Dreams
918,Monty Python Live (Mostly),2014,Not Rated,20 Jul 2014,137 min,"Documentary, Comedy, Musical","Eric Idle, Aubrey Powell","Graham Chapman, John Cleese, Terry Gilliam","John Cleese, Terry Gilliam, Eric Idle","The reunion of the Monty Python team on stage for the first time in over 30 years, and for the very last time ever.","Spanish, English",United Kingdom,,https://m.media-amazon.com/images/M/MV5BMTAzMDQ5NjAtZmRjYy00MDU1LWJiYzUtODQyOTQwMmQ0YzQ5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,"2,855",tt3872778,movie,,,,,True,,Monty Python Live (Mostly)
919,DokiDoki! PreCure,2013–2014,TV-Y7,18 Aug 2017,,"Animation, Action, Adventure",,,"Mayumi Tanaka, Atsuko Tanaka, Kazuhiro Yamaji",5 teenage girls unleash their inner superheroes to stop King Mercenare from taking over the world.,Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BMTJkZjdjZDUtZTMxYy00OGJiLThiZDUtN2IyMTMwNzkxNzc1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,275,tt4621212,series,,,,,True,1.0,DokiDoki! PreCure
920,Booba,2014–,TV-Y7,10 Nov 2014,96 min,"Animation, Comedy, Family",,,"Roman Karev, Elena Kareva, Artyom Kretov","A family show following the adventures of a joyful, funny and curious little creature called Booba and his friends. They always find themselves in hilarious situations trying to explore the world around them.",,"United Kingdom, Russia",,https://m.media-amazon.com/images/M/MV5BNmM3NGQ3OWQtMTcxMS00MTI1LWEyN2QtYWJkYjYyNDIzYzNhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,6.8,603,tt6581428,series,,,,,True,4.0,Booba
921,Hasee Toh Phasee,2014,Not Rated,07 Feb 2014,141 min,"Comedy, Romance",Vinil Mathew,"Harshavardhan Kulkarni, Anurag Kashyap, Purva Naresh","Sidharth Malhotra, Parineeti Chopra, Adah Sharma","Nikhil is re-introduced to Meeta nearly ten years after their first meeting. Now, as Nikhil has one week to prove himself worth enough to marry Meeta's sister Karishma, the old acquaintances become quite close to each other.",Hindi,India,3 wins & 16 nominations,https://m.media-amazon.com/images/M/MV5BMTQ5NTUyMzE3Ml5BMl5BanBnXkFtZTgwOTI5MDEwMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",,6.8,"16,678",tt3173910,movie,,"$646,035",,,True,,Hasee Toh Phasee
922,Zbrodnia,2014–,,16 Oct 2014,60 min,"Action, Crime",,,"Joanna Kulig, Magdalena Boczarska, Wojciech Zielinski",The peaceful lives of the residents inhabiting a seaside town are shaken following a series of macabre crimes.,"Polish, Hungarian, Czech, Romanian",Poland,,https://m.media-amazon.com/images/M/MV5BY2JiMzBmYjUtZTk4My00MjAyLWIzNjAtODc2ZmJjYzIxN2RjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,6.3,797,tt4173216,series,,,,,True,2.0,Zbrodnia
923,"The Boss, Anatomy of a Crime",2014,,26 Feb 2015,90 min,"Crime, Drama",Sebastián Schindel,"Nicolás Batlle, Pablo Del Teso, Elías Neuman","Guillermo Pfening, Andrea Garrote, Joaquín Furriel","With dreams of a better life, a humble but illiterate labourer and his wife leave their poor village in Santiago to move to Buenos Aires. However, a sinister boss' promise of a bright future will come at a high price.",Spanish,"Argentina, Venezuela",14 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMjc3N2I2ZTYtNDE5Yy00NmQyLWJkZmYtZjJmNTk3MjJkZmMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,7.3,"2,744",tt3854234,movie,,,,,True,,"The Boss, Anatomy of a Crime"
924,"That Winter, the Wind Blows",2013,,13 Feb 2013,65 min,Drama,,,"Han Jung-hyun, Zo In-sung, Song Hye-kyo",A man who was led to a life of a con artist who preys on rich women meets the sole heir to a fortune who is a blind woman.,Korean,South Korea,8 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BOWNkMzM4ODMtYjU1MC00ZmFlLTgyMDMtOTRiOGQ3Y2IyZGQ5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"2,419",tt2806646,series,,,,,True,1.0,"That Winter, the Wind Blows"
925,Jim Jefferies: BARE,2014,TV-MA,29 Aug 2014,77 min,Comedy,Shannon Hartman,Jim Jefferies,Jim Jefferies,Covers topics from gun control to family values.,English,United States,,https://m.media-amazon.com/images/M/MV5BMDY0OGQ1MmQtN2ZkOS00MWFkLTkyODctZDc5N2JhNzQ1MmNlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",,8.0,"5,889",tt3958494,movie,,,,,True,,Jim Jefferies: BARE
926,Pizza,2012,Not Rated,19 Oct 2012,127 min,"Horror, Mystery, Thriller",Karthik Subbaraj,"Prasath Ramar, Karthik Subbaraj","Vijay Sethupathi, Ramya Nambeeshan, Aadukalam Naren",A pizza delivery boy lands in a mysterious circumstance and it works a dramatic change in his life.,Tamil,India,5 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BYzUwNTE1MWUtN2M3Mi00MWExLTgxNGItNDE4NDEzNmFkOWJlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",,7.9,"9,008",tt2585562,movie,,,,,True,,Pizza
927,Boss,2011–2012,TV-MA,21 Oct 2011,1 min,"Crime, Drama",,Farhad Safinia,"Kelsey Grammer, Connie Nielsen, Hannah Ware","Mayor Tom Kane, diagnosed with a dementia disorder, struggles to keep his grip on power in Chicago.",English,United States,1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMjFmNDNjZTYtYTkzYS00MDMxLTljNWItOTdlMDNlNDcwNzM5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",,8.1,"18,725",tt1833285,series,,,,,True,2.0,Boss
928,Madras Cafe,2013,Not Rated,23 Aug 2013,130 min,"Action, Drama, Thriller",Shoojit Sircar,"Shubhendu Bhattacharya, Juhi Chaturvedi, Somnath Dey","Nargis Fakhri, John Abraham, Raashi Khanna",An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,Hindi,India,12 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BMTg1MzU5ODM4Nl5BMl5BanBnXkFtZTcwOTQ3MTM5OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,"26,052",tt2855648,movie,,,,,True,,Madras Cafe
929,Dharmakshetra,2014–2015,,19 Nov 2014,43 min,Drama,,,"Bajrangbali Singh, Gaurav Ghatnekar, Chandan Anand","After the Mahabharata war, Pandavas and Kauravas face Chitragupta's court to answer for their actions. Each episode features a character answering questions on behalf of others.",Hindi,India,,https://m.media-amazon.com/images/M/MV5BODQ1ODAyZWMtNmY0Ni00ZDVkLTgxZGUtODJiNDUxNTQ5ZTQzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",,8.5,426,tt6803712,series,,,,,True,1.0,Dharmakshetra
930,Masha's Spooky Stories,2012–2016,,,22 min,Animation,,Oleg Kuzovkov,Tiffany Alexander,"Masha explains why there's no need to be scared of things like monsters, the dark, going to a new school, thunder and other common childhood fears.",English,"United States, Russia",1 nomination,https://m.media-amazon.com/images/M/MV5BZTJkYzczMTAtYzRiNi00NTU5LWEyOTYtMTIwNzZiOWE0YWQ4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",,5.0,61,tt6979430,series,,,,,True,1.0,Masha's Spooky Stories
931,Ankhon Dekhi,2013,,21 Mar 2014,107 min,"Comedy, Drama",Rajat Kapoor,Rajat Kapoor,"Sanjay Mishra, Seema Pahwa, Rajat Kapoor","After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions.",Hindi,India,8 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BZmFjMDZkZDktNWQ5Yy00YTZiLTlmNGYtNjZjYmMxNjBmNzM0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",,7.9,"12,996",tt3614516,movie,,,,,True,,Ankhon Dekhi
932,Kai Po Che,2013,Not Rated,22 Feb 2013,120 min,"Drama, Sport",Abhishek Kapoor,"Chetan Bhagat, Abhishek Kapoor, Supratik Sen","Amit Sadh, Sushant Singh Rajput, Rajkummar Rao",Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,Hindi,India,12 wins & 36 nominations total,https://m.media-amazon.com/images/M/MV5BMTgwNTAwMjEzMF5BMl5BanBnXkFtZTcwNzMzODY4OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40.0,7.8,"39,396",tt2213054,movie,,"$1,122,527",,,True,,Kai Po Che
933,Anjaan,2014,Not Rated,15 Aug 2014,166 min,"Action, Crime, Drama","N. Linguswamy, Suresh","N. Linguswamy, Brindha Sarathy, Shyam Raj","Suriya, Vidyut Jammwal, Samantha Ruth Prabhu","Krishna comes to Mumbai in search of his brother Raju Bhai, an underworld don. Through Raju Bhai's gangster friends, his past life is revealed. What happened to Raju Bhai? Will Krishna find him?",Tamil,India,3 nominations total,https://m.media-amazon.com/images/M/MV5BYTQ5OWY4NWYtOTVkNy00YzEyLWE0NTktOWRkYzQ4MTZjZWYyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",,5.3,"6,397",tt3563156,movie,,,,,True,,Anjaan
934,ABCD,1999,Unrated,01 Apr 2000,105 min,Drama,Krutin Patel,"James McManus, Krutin Patel","David Ari, Sheetal Sheth, Madhur Jaffrey",The only goal of an ageing Asian-American widow is to see her son and rebellious daughter (described as an American Born Confused Deshi or ABCD) married off to respectable Indian families.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMTM0MjI2MzkwOF5BMl5BanBnXkFtZTcwMTgzMjUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53.0,5.7,325,tt0221794,movie,,"$83,372",,,True,,ABCD
935,Blind Detective,2013,,04 Jul 2013,130 min,"Action, Comedy, Crime",Johnnie To,"Ryker Chan, Ka-Fai Wai, Nai-Hoi Yau","Andy Lau, Sammi Cheng, Tao Guo","A brilliant detective is forced into early retirement after losing eyesight. Making ends meet by solving cold cases for reward money, he teams up with a rookie lady inspector to solve a case from her personal past.","Cantonese, Mandarin, Portuguese, English","Hong Kong, China",3 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BNmFhODRhMzEtMDA2OS00YTNhLWI4MmUtNDI3ZmQ0MDI2OGQxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}]",,6.4,"3,733",tt2332707,movie,,,,,True,,Blind Detective
